qualified_name,module,name,kind,stability,since,signature,deprecated,summary,notes
crossmarket_agentgym.agents.providers.LLMProvider,crossmarket_agentgym.agents.providers,LLMProvider,class,provisional,1.0.0rc1,"(*args, **kwargs)",false,Common synchronous boundary shared by online and offline providers.,
crossmarket_agentgym.agents.providers.LLMResponse,crossmarket_agentgym.agents.providers,LLMResponse,class,provisional,1.0.0rc1,"(*, content: str, structured_data: dict[str, Any] | None = None, tool_calls: tuple[crossmarket_agentgym.agents.providers.models.ToolCall, ...] = (), usage: crossmarket_agentgym.agents.providers.models.TokenUsage = <factory>, metadata: crossmarket_agentgym.agents.providers.models.ProviderMetadata)",false,Provider-neutral response with validated structured data.,
crossmarket_agentgym.agents.providers.Message,crossmarket_agentgym.agents.providers,Message,class,provisional,1.0.0rc1,"(*, role: Literal['system', 'user', 'assistant', 'tool'], content: str = '', name: str | None = None, tool_call_id: str | None = None, tool_calls: tuple[crossmarket_agentgym.agents.providers.models.ToolCall, ...] = ())",false,Provider-neutral chat message.,
crossmarket_agentgym.agents.providers.MockProvider,crossmarket_agentgym.agents.providers,MockProvider,class,provisional,1.0.0rc1,"(script: 'Iterable[MockTurn | dict[str, Any]]', *, model: 'str' = 'deepseek-v4-pro') -> 'None'",false,Return deterministic scripted turns without network access.,
crossmarket_agentgym.agents.providers.MockTurn,crossmarket_agentgym.agents.providers,MockTurn,class,provisional,1.0.0rc1,"(*, content: str | dict[str, Any] = '', tool_calls: tuple[crossmarket_agentgym.agents.providers.models.ToolCall, ...] = (), usage: crossmarket_agentgym.agents.providers.models.TokenUsage = <factory>, error_code: str | None = None, error_message: str | None = None)",false,One scripted response or deliberate safe failure.,
crossmarket_agentgym.agents.providers.OpenAICompatibleProvider,crossmarket_agentgym.agents.providers,OpenAICompatibleProvider,class,provisional,1.0.0rc1,"(config: 'ProviderConfig', *, client: 'httpx.Client | None' = None) -> 'None'",false,Synchronous HTTP adapter with bounded retries and schema validation.,
crossmarket_agentgym.agents.providers.ProviderConfig,crossmarket_agentgym.agents.providers,ProviderConfig,class,provisional,1.0.0rc1,"(*, provider: Literal['openai_compatible', 'mock', 'replay'] = 'openai_compatible', model: str = 'deepseek-v4-pro', api_key_env: str = 'DEEPSEEK_API_KEY', base_url_env: str = 'DEEPSEEK_BASE_URL', default_base_url: str = 'https://api.deepseek.com', endpoint: str = '/chat/completions', structured_output_mode: Literal['json_object', 'json_schema'] = 'json_object', replay_path: str | None = None, generation: crossmarket_agentgym.agents.providers.models.GenerationConfig = <factory>)",false,Credential-free provider configuration.,
crossmarket_agentgym.agents.providers.ProviderConfigurationError,crossmarket_agentgym.agents.providers,ProviderConfigurationError,class,provisional,1.0.0rc1,"(code: 'str', message: 'str') -> 'None'",false,Missing or invalid provider configuration.,
crossmarket_agentgym.agents.providers.ProviderError,crossmarket_agentgym.agents.providers,ProviderError,class,provisional,1.0.0rc1,"(code: 'str', message: 'str') -> 'None'",false,Safe provider failure carrying a stable code but no response body.,
crossmarket_agentgym.agents.providers.ProviderMetadata,crossmarket_agentgym.agents.providers,ProviderMetadata,class,provisional,1.0.0rc1,"(*, provider: str, model: str, base_url: str | None = None, request_id: str | None = None, finish_reason: str | None = None, attempts: int = 1, latency_seconds: float = 0.0, request_sha256: str, structured: bool = False, replayed: bool = False)",false,Credential-free metadata persisted beside an Agent run.,
crossmarket_agentgym.agents.providers.ReplayJournal,crossmarket_agentgym.agents.providers,ReplayJournal,class,provisional,1.0.0rc1,(path: 'str | Path') -> 'None',false,Append responses in strict JSONL format for later offline replay.,
crossmarket_agentgym.agents.providers.ReplayProvider,crossmarket_agentgym.agents.providers,ReplayProvider,class,provisional,1.0.0rc1,"(path: 'str | Path', *, model: 'str' = 'deepseek-v4-pro') -> 'None'",false,Replay exact request hashes sequentially and never access the network.,
crossmarket_agentgym.agents.providers.ReplayRecord,crossmarket_agentgym.agents.providers,ReplayRecord,class,provisional,1.0.0rc1,"(*, schema_version: Literal['1.0'] = '1.0', request_sha256: str, response: crossmarket_agentgym.agents.providers.models.LLMResponse)",false,One canonical request identity and its credential-free response.,
crossmarket_agentgym.agents.providers.StructuredOutputError,crossmarket_agentgym.agents.providers,StructuredOutputError,class,provisional,1.0.0rc1,"(code: 'str', message: 'str') -> 'None'",false,Model content did not satisfy the requested response schema.,
crossmarket_agentgym.agents.providers.TokenUsage,crossmarket_agentgym.agents.providers,TokenUsage,class,provisional,1.0.0rc1,"(*, prompt_tokens: int = 0, completion_tokens: int = 0, total_tokens: int = 0)",false,Normalized provider token accounting.,
crossmarket_agentgym.agents.providers.ToolCall,crossmarket_agentgym.agents.providers,ToolCall,class,provisional,1.0.0rc1,"(*, id: str, name: str, arguments: dict[str, Any] = <factory>)",false,One model-requested tool invocation with parsed arguments.,
crossmarket_agentgym.agents.providers.create_provider,crossmarket_agentgym.agents.providers,create_provider,function,provisional,1.0.0rc1,"(config: 'ProviderConfig', *, mock_script: 'Iterable[MockTurn | dict[str, object]] | None' = None, client: 'httpx.Client | None' = None) -> 'LLMProvider'",false,"Construct online, mock, or replay providers without implicit fallback.",
crossmarket_agentgym.agents.providers.request_fingerprint,crossmarket_agentgym.agents.providers,request_fingerprint,function,provisional,1.0.0rc1,"(messages: 'list[Message]', response_schema: 'type[BaseModel] | None', tools: 'list[ToolDefinition] | None', generation_config: 'GenerationConfig') -> 'str'",false,Hash a credential-free canonical provider request.,
crossmarket_agentgym.agents.replay_phase7_bundle,crossmarket_agentgym.agents,replay_phase7_bundle,function,stable,1.0.0rc1,(bundle_path: 'Path') -> 'DirectiveProjection',false,Recompute hard merge and projection from recorded validated directives only.,
crossmarket_agentgym.agents.roles.AgentFactory,crossmarket_agentgym.agents.roles,AgentFactory,callable,provisional,1.0.0rc1,"(*args, **kwargs)",false,,
crossmarket_agentgym.agents.roles.AgentRegistry,crossmarket_agentgym.agents.roles,AgentRegistry,class,provisional,1.0.0rc1,"(*, include_builtins: 'bool' = True) -> 'None'",false,Resolve role factories without importing code named by model output.,
crossmarket_agentgym.agents.roles.BUILTIN_ROLE_TYPES,crossmarket_agentgym.agents.roles,BUILTIN_ROLE_TYPES,constant_or_type_alias,provisional,1.0.0rc1,,false,Built-in immutable sequence.,
crossmarket_agentgym.agents.roles.ENTRY_POINT_GROUP,crossmarket_agentgym.agents.roles,ENTRY_POINT_GROUP,constant_or_type_alias,provisional,1.0.0rc1,,false,str(object='') -> str,
crossmarket_agentgym.agents.roles.HierarchicalStrategyAgent,crossmarket_agentgym.agents.roles,HierarchicalStrategyAgent,class,provisional,1.0.0rc1,"(instance: 'AgentInstance', services: 'RoleServices') -> 'None'",false,Third-layer typed low-frequency constraint directive.,
crossmarket_agentgym.agents.roles.ProviderRoleAgent,crossmarket_agentgym.agents.roles,ProviderRoleAgent,class,provisional,1.0.0rc1,"(instance: 'AgentInstance', services: 'RoleServices') -> 'None'",false,Stateful Provider/tool session shared by all built-in role types.,
crossmarket_agentgym.agents.roles.ResearchOrchestrationAgent,crossmarket_agentgym.agents.roles,ResearchOrchestrationAgent,class,provisional,1.0.0rc1,"(instance: 'AgentInstance', services: 'RoleServices') -> 'None'",false,First-layer typed research planner and bounded tool orchestrator.,
crossmarket_agentgym.agents.roles.RiskManagementAgent,crossmarket_agentgym.agents.roles,RiskManagementAgent,class,provisional,1.0.0rc1,"(instance: 'AgentInstance', services: 'RoleServices') -> 'None'",false,Second-layer typed risk proposal; hard-policy merge remains external.,
crossmarket_agentgym.agents.roles.RoleServices,crossmarket_agentgym.agents.roles,RoleServices,class,provisional,1.0.0rc1,"(workspace_root: 'Path', run_dir: 'Path', prompt_version: 'str', tool_registry: 'ToolRegistry') -> None",false,Administrator-owned capabilities injected into a role factory.,
crossmarket_agentgym.agents.roles.RuntimeRole,crossmarket_agentgym.agents.roles,RuntimeRole,class,provisional,1.0.0rc1,"(*args, **kwargs)",false,One independently stateful expanded Agent instance.,
crossmarket_agentgym.agents.tools.ToolDefinition,crossmarket_agentgym.agents.tools,ToolDefinition,class,provisional,1.0.0rc1,"(*, name: str, description: str, input_schema: dict[str, Any], output_schema: dict[str, Any], permission: Literal['read', 'compute', 'write', 'expensive'], timeout_seconds: float = 30.0)",false,Provider-visible schema and administrator permission classification.,
crossmarket_agentgym.agents.tools.ToolExecutor,crossmarket_agentgym.agents.tools,ToolExecutor,class,provisional,1.0.0rc1,"(registry: 'ToolRegistry', policy: 'ToolPolicy', workspace_root: 'str | Path') -> 'None'",false,Stateful per-session permission and resource enforcement.,
crossmarket_agentgym.agents.tools.ToolPayload,crossmarket_agentgym.agents.tools,ToolPayload,class,provisional,1.0.0rc1,"(*, data: dict[str, Any], artifact_paths: tuple[str, ...] = (), warnings: tuple[str, ...] = ())",false,"Optional handler wrapper for data, artifacts, and warnings.",
crossmarket_agentgym.agents.tools.ToolPermission,crossmarket_agentgym.agents.tools,ToolPermission,callable,provisional,1.0.0rc1,"(*args, **kwargs)",false,,
crossmarket_agentgym.agents.tools.ToolPolicy,crossmarket_agentgym.agents.tools,ToolPolicy,class,provisional,1.0.0rc1,"(*, allowed_permissions: frozenset[Literal['read', 'compute', 'write', 'expensive']] = frozenset({'compute', 'read'}), allowed_tools: frozenset[str] | None = None, max_total_calls: int = 20, max_expensive_calls: int = 0, max_cumulative_seconds: float = 300.0, require_budget_before_expensive: bool = False)",false,Administrator-owned allowlist and per-session resource budget.,
crossmarket_agentgym.agents.tools.ToolRegistry,crossmarket_agentgym.agents.tools,ToolRegistry,class,provisional,1.0.0rc1,() -> 'None',false,Explicit registry; user text can never become a shell command.,
crossmarket_agentgym.agents.tools.ToolResult,crossmarket_agentgym.agents.tools,ToolResult,class,provisional,1.0.0rc1,"(*, success: bool, data: dict[str, Any] | None = None, artifact_paths: tuple[str, ...] = (), warnings: tuple[str, ...] = (), error_code: str | None = None, error_message: str | None = None, duration_seconds: float = 0.0)",false,Uniform result returned for successes and all safe failures.,
crossmarket_agentgym.agents.tools.build_builtin_tool_registry,crossmarket_agentgym.agents.tools,build_builtin_tool_registry,function,provisional,1.0.0rc1,(workspace_root: 'str | Path') -> 'ToolRegistry',false,Build all bounded Python capabilities; none accepts shell text.,
crossmarket_agentgym.api.ServiceConfig,crossmarket_agentgym.api,ServiceConfig,class,experimental,1.0.0rc1,"(*, workspace_root: pathlib.Path = '.', runs_root: pathlib.Path = 'runs', reports_root: pathlib.Path = 'reports', host: str = '127.0.0.1', port: int = 8000, allow_remote: bool = False, docs_enabled: bool = False, max_runs: int = 500, max_json_bytes: int = 5000000)",false,Local-first service settings with explicit remote opt-in.,
crossmarket_agentgym.api.create_app,crossmarket_agentgym.api,create_app,function,experimental,1.0.0rc1,(config: 'ServiceConfig') -> 'Any',false,Create an app without mutating runs or exposing arbitrary files.,
crossmarket_agentgym.api.load_service_config,crossmarket_agentgym.api,load_service_config,function,experimental,1.0.0rc1,(path: 'Path') -> 'ServiceConfig',false,Load service YAML without importing FastAPI or opening a socket.,
crossmarket_agentgym.api.run_service,crossmarket_agentgym.api,run_service,function,experimental,1.0.0rc1,(config: 'ServiceConfig') -> 'None',false,Start the optional server only after explicit CLI invocation.,
crossmarket_agentgym.audit.RunArtifactRecord,crossmarket_agentgym.audit,RunArtifactRecord,class,provisional,1.0.0rc1,"(*, relative_path: str, sha256: str, size_bytes: int)",false,One immutable file identity inside a run directory.,
crossmarket_agentgym.audit.RunManifest,crossmarket_agentgym.audit,RunManifest,class,provisional,1.0.0rc1,"(*, schema_version: Literal['1.0'] = '1.0', run_id: str, kind: Literal['training', 'tuning', 'agent', 'phase7'], software_version: str, code_commit: str | None = None, source_state: Literal['clean', 'dirty', 'unknown'], created_at: datetime.datetime, config_sha256: str, dataset_sha256: str | None = None, protocol_sha256: str | None = None, seed: int | None = None, status: Literal['completed', 'failed'], runtime: crossmarket_agentgym.audit.run_manifest.RuntimeIdentity, artifacts: tuple[crossmarket_agentgym.audit.run_manifest.RunArtifactRecord, ...])",false,Frozen Phase 10 run-directory envelope shared by all workflows.,
crossmarket_agentgym.audit.RuntimeIdentity,crossmarket_agentgym.audit,RuntimeIdentity,class,provisional,1.0.0rc1,"(*, python: str, implementation: str, system: str, machine: str, cpu_count: int | None = None)",false,Portable runtime facts that contain no username or absolute path.,
crossmarket_agentgym.audit.SecretRedactionFilter,crossmarket_agentgym.audit,SecretRedactionFilter,class,provisional,1.0.0rc1,(name=''),false,Redact secrets before a record reaches any configured handler.,
crossmarket_agentgym.audit.configure_logging,crossmarket_agentgym.audit,configure_logging,function,provisional,1.0.0rc1,(level: 'int' = 20) -> 'logging.Logger',false,Configure the package logger once and return it.,
crossmarket_agentgym.audit.redact_secrets,crossmarket_agentgym.audit,redact_secrets,function,provisional,1.0.0rc1,(value: 'str') -> 'str',false,Replace credential-like values while retaining useful field names.,
crossmarket_agentgym.audit.redact_value,crossmarket_agentgym.audit,redact_value,function,provisional,1.0.0rc1,"(value: 'Any', *, field_name: 'str' = '') -> 'Any'",false,Recursively redact strings and credential-like mapping fields.,
crossmarket_agentgym.audit.verify_run_manifest,crossmarket_agentgym.audit,verify_run_manifest,function,provisional,1.0.0rc1,(run_dir: 'str | Path') -> 'RunManifest',false,Recompute every recorded file identity and reject missing or extra artifacts.,
crossmarket_agentgym.audit.write_run_manifest,crossmarket_agentgym.audit,write_run_manifest,function,provisional,1.0.0rc1,"(run_dir: 'str | Path', *, workspace_root: 'str | Path', run_id: 'str', kind: 'RunKind', config_path: 'str | Path', dataset_sha256: 'str | None' = None, seed: 'int | None' = None, protocol_sha256: 'str | None' = None, status: ""Literal['completed', 'failed']"" = 'completed') -> 'RunManifest'",false,"Hash one completed run without copying prompts, outputs, or credentials.",
